,project_name,coverage,year,monthid,stateid,veh_electric,veh_hybrid_plugin,veh_hybrid,veh_salesh,statedesc
108,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,11,2,0,0,8,8,Baja California
109,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,12,2,0,0,15,15,Baja California
110,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,1,2,0,0,12,12,Baja California
111,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,2,2,0,0,9,9,Baja California
112,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,3,2,0,0,16,16,Baja California
113,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,4,2,0,1,10,11,Baja California
114,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,5,2,0,2,14,16,Baja California
115,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,6,2,0,3,8,11,Baja California
116,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,7,2,0,3,17,20,Baja California
117,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,8,2,0,0,17,17,Baja California
118,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,9,2,0,2,24,26,Baja California
119,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,10,2,0,0,14,14,Baja California
120,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,11,2,2,5,13,20,Baja California
121,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,12,2,1,1,23,25,Baja California
122,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2019,1,2,0,3,19,22,Baja California
123,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2019,2,2,0,1,25,26,Baja California
124,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2019,3,2,0,2,35,37,Baja California
